id,dateAdded,dateUpdated,brand,primaryCategories,colors,name,prices.amountMax,prices.amountMin,prices.availability,prices.color,prices.currency,prices.offer,prices.size
99,2019-05-01T05:02:38Z,2019-05-01T05:02:38Z,Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,58.93,58.93,TRUE,Black,USD,Online only: 20% off,9.5
100,2019-05-01T05:02:14Z,2019-05-01T05:02:14Z,City Classified,Shoes,Tan,Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout,36.99,36.99,TRUE,Tan,USD,Online only,9
101,2019-05-01T05:02:13Z,2019-05-01T05:02:13Z,City Classified,Shoes,Tan,Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout,36.99,36.99,TRUE,Tan,USD,Online only,8.5
102,2019-05-01T05:02:10Z,2019-05-01T05:02:10Z,Floral,Shoes,Black,"FLORAL Chelsea Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 10",49.95,49.95,TRUE,Black,USD,Online only,6
103,2019-05-01T05:02:01Z,2019-05-01T05:02:01Z,Bogs,Shoes,Grape Fleck,Women's Whiteout Fleck Winter Boot,183.92,183.92,TRUE,Grape Fleck,USD,Online only,8
104,2019-05-01T05:01:55Z,2019-05-01T05:01:55Z,Fergalicious,Shoes,Black Polyurethane,Women's Fergalicious Harding Ankle Bootie,69.95,69.95,TRUE,Black Polyurethane,USD,Online only,10
105,2019-05-01T05:01:52Z,2019-05-01T05:01:52Z,Callisto,Shoes,Black,Callisto Women's Advisor Camel Pump - 11M,22.99,22.99,TRUE,Black,USD,Online only: 79% off,8M
106,2019-05-01T05:01:50Z,2019-05-01T05:01:50Z,Trotters,Shoes,Black Suede,"trotters women's luxury boot, tan/cognac, 8.5 m us",100.76,100.76,FALSE,Black Suede,USD,Online only,12
107,2019-05-01T05:01:50Z,2019-05-01T05:01:50Z,Floral,Shoes,Gold,"FLORAL Gemma Women's Wide Width Evening Dress Shoes for Wedding, Prom, Dinner BLACK 7.5",49.95,49.95,TRUE,Gold,USD,Online only,7
108,2019-05-01T05:01:44Z,2019-05-01T05:01:44Z,New Balance,Shoes,By,New Balance Women's Wvngo By Ankle-High Running Shoe - 7.5W,61.48,61.48,FALSE,By,USD,Online only: 53% off,8W
109,2019-05-01T05:01:34Z,2019-05-01T05:01:34Z,New Balance,Shoes,Black,"New Balance Women's WW813 Walking Hook Loop Shoes, Black (color, 5.5 B(M) US)",122.6,122.6,TRUE,Black,USD,Online only,7 C/D US
110,2019-05-01T05:01:33Z,2019-05-01T05:01:33Z,Easy Street,Shoes,Cocoa Leather/Fabric,"New Easy Street Womens Emma CocoaLeather/Fabric Fashion Shoes Size 6.5 (C,D,W)",16.23,16.23,FALSE,Cocoa Leather/Fabric,USD,Online only,6.5
111,2019-05-01T05:01:22Z,2019-05-01T05:01:22Z,Easy Spirit,Shoes,Black/Patent,Easy Spirit Womens Motion Leather Almond Toe Oxfords,57.59,57.59,TRUE,Black/Patent,USD,Online only: 28% off,11
112,2019-05-01T05:01:11Z,2019-05-01T05:01:11Z,Call It Spring,Shoes,Black,Call It Spring Womens Hailassi Booties Ankle Sock Boot,52,52,TRUE,Black,USD,Online only,9 Medium BM
113,2019-05-01T05:01:06Z,2019-05-01T05:01:06Z,Trotters,Shoes,Black Suede,trotters women's mindy black tumbled leather boot 10 n (aa),62.96,62.96,FALSE,Black Suede,USD,Online only: 52% off,12
114,2019-05-01T05:01:06Z,2019-05-01T05:01:06Z,Trotters,Shoes,Black Suede,trotters women's mindy black tumbled leather boot 10 n (aa),20.74,20.74,TRUE,Black Suede,USD,Online only: 57% off,7.5
115,2019-05-01T05:00:41Z,2019-05-01T05:00:41Z,Charles by Charles David,Shoes,White,Women's Charles by Charles David Kitten Pump,49.95,49.95,TRUE,White,USD,Online only: 50% off,10 BM US Women
116,2019-05-01T03:41:38Z,2019-05-01T03:41:38Z,City Classified,Shoes,Dark Blush,City Classified Stylish-S Women's Zipper Ankle Booties,29.95,29.95,TRUE,Dark Blush,USD,Online only,8
117,2019-05-01T03:15:48Z,2019-05-01T03:15:50Z,k-swiss,Shoes,White,women's k-swiss st329 cmf,62.79,62.79,FALSE,White,USD,Online only,7.5
118,2019-05-01T03:14:18Z,2019-05-01T03:14:18Z,City Classified,Shoes,Chestnut,City Classified Decade-S Women's Perforated Ankle Booties,26.95,26.95,TRUE,Chestnut,USD,Online only,8.5
119,2019-05-01T03:14:15Z,2019-05-01T03:14:15Z,Tretorn,Shoes,Birch / White,Tretorn Men's Camden 3 Suede Birch / White Ankle-High Fashion Sneaker - 8.5M,64,64,TRUE,Birch / White,USD,Online only,14M
120,2019-05-01T03:09:35Z,2019-05-01T03:14:03Z,Pleaser,Shoes,Black Crinkle Patent,"FABULOUS-3035, 8 3/4'' Heel 8 1/4'' Thigh Boot",137.95,137.95,TRUE,Black Crinkle Patent,USD,Online only,Size 7
121,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Pleaser,Shoes,Rainbow Multi Glitter/Black Matte Synthetic,Women's Pleaser Adore 1018RBG Open Toe Bootie,83.95,83.95,TRUE,Rainbow Multi Glitter/Black Matte Synthetic,USD,Online only,6
122,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Timberland PRO,Shoes,Brown,Women's Timberland PRO Renova Professional Slip-On,109.95,109.95,FALSE,Brown,USD,Online only,6
