,DATEADDED,DATEUPDATED,NAME,BRAND,PRIMARYCATEGORIES,COLORS,PRICES.AMOUNTMAX,PRICES.AMOUNTMIN,PRICES.AVAILABILITY,PRICES.COLOR,PRICES.OFFER,PRICES.SIZE
94,2019-05-01T05:05:56Z,2019-05-01T05:05:56Z,WOMEN S BEACON SHOES SURPRISE SKIMMER,BEACON SHOES,SHOES,NAVY STRETCH FABRIC,49.95,49.95,TRUE,NAVY STRETCH FABRIC,ONLINE ONLY,9.5
95,2019-05-01T05:04:56Z,2019-05-01T05:04:56Z,FLORAL TEAGAN WOMEN S WIDE WIDTH BLOCK,FLORAL,SHOES,GOLD,49.95,49.95,TRUE,GOLD,ONLINE ONLY,7.5
96,2019-05-01T05:04:24Z,2019-05-01T05:04:24Z,WOMEN S CANAL SNEAKER,EMERIL LAGASSE FOOTWEAR,SHOES,BLACK LEATHER,49.95,49.95,TRUE,BLACK LEATHER,ONLINE ONLY: 23% OFF,6
97,2019-05-01T05:04:19Z,2019-05-01T05:04:19Z,WOMEN S DIBA TRUE IN BETWEEN OPEN TOE B,DIBA,SHOES,NATURAL LEATHER,116.45,116.45,TRUE,NATURAL LEATHER,ONLINE ONLY: 22% OFF,8
98,2019-05-01T05:03:11Z,2019-05-01T05:03:11Z,DR. SCHOLL S WOMENS SVETLANA FAUX LEATH,DR. SCHOLL S SHOES,SHOES,CARMEL,50.65,50.65,FALSE,CARMEL,ONLINE ONLY,9.5 MEDIUM BM
99,2019-05-01T05:02:38Z,2019-05-01T05:02:38Z,CALLISTO WOMEN S ADVISOR CAMEL PUMP - 1,CALLISTO,SHOES,BLACK,58.93,58.93,TRUE,BLACK,ONLINE ONLY: 20% OFF,9.5
100,2019-05-01T05:02:14Z,2019-05-01T05:02:14Z,DECADE SUEDE TAN CHESTNUT BROWN SMALL S,CITY CLASSIFIED,SHOES,TAN,36.99,36.99,TRUE,TAN,ONLINE ONLY,9
101,2019-05-01T05:02:13Z,2019-05-01T05:02:13Z,DECADE SUEDE TAN CHESTNUT BROWN SMALL S,CITY CLASSIFIED,SHOES,TAN,36.99,36.99,TRUE,TAN,ONLINE ONLY,8.5
102,2019-05-01T05:02:10Z,2019-05-01T05:02:10Z,FLORAL CHELSEA WOMEN S WIDE WIDTH EVENI,FLORAL,SHOES,BLACK,49.95,49.95,TRUE,BLACK,ONLINE ONLY,6
103,2019-05-01T05:02:01Z,2019-05-01T05:02:01Z,WOMEN S WHITEOUT FLECK WINTER BOOT,BOGS,SHOES,GRAPE FLECK,183.92,183.92,TRUE,GRAPE FLECK,ONLINE ONLY,8
