dateAdded,dateUpdated,brand,categories,primaryCategories,colors,ean / upc,name,prices.amountMax,prices.amountMin,prices.availability,prices.dateSeen,prices.offer,prices.size,sizes
2019-04-25T09:01:43Z,2019-04-25T09:01:43Z,Skechers Work,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black/Pink,190873000000.00,Women's Skechers Work Synergy Algonac Alloy Toe Sneaker,88.93,88.93,TRUE,2019-04-25T09:01:43Z,Online only,9,9
2019-04-25T09:01:17Z,2019-04-25T09:01:17Z,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Gold Sequins,885000000000.00,"SPECTACUL-300SQ, Block Heel Sequins Knee Boot",63.86,63.86,TRUE,2019-04-19T06:59:37Z,Online only,10,10
2019-04-25T09:01:17Z,2019-04-25T09:01:17Z,Sperry Top -Sider,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Grey/Black,886000000000.00,Sperry Top -Sider Syren Gulf Duck Toe Boot - Navy/Brown - Womens - 9.5,120,120,TRUE,"2019-04-18T15:01:07Z,2019-04-18T15:01:12Z",Online only,6 M US,6 M US
2019-04-25T09:01:11Z,2019-04-25T09:01:11Z,Steve Madden,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White,829105000000.00,Steve Madden Women's Kickstart White Fashion Sneaker - 9M,18.99,18.99,FALSE,2019-04-25T09:01:11Z,Online only: 76% off,6M,6M
2019-04-25T09:01:01Z,2019-04-25T09:01:01Z,summitfashions,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black,829000000000.00,5 inch women's sexy mary jane shoes mid platform chunky heel shoe,69.96,69.96,TRUE,2019-04-25T09:01:01Z,Online only: 21% off,13,13
2019-04-25T07:14:55Z,2019-04-25T07:14:55Z,Drew,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Dusty Gold Leather,887655000000.00,Women's Drew Ariana Slide,109.16,109.16,TRUE,2019-04-24T17:34:00.000Z,Online only,6 M,6 M
2019-04-25T07:14:53Z,2019-04-25T07:14:53Z,Aerosoles,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White,737000000000.00,Women's Sidewalk Loafer,91.37,91.37,FALSE,2019-04-21T02:12:14Z,Online only,11,11
2019-04-25T07:14:46Z,2019-04-25T07:14:46Z,SoftWalk,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Sand Leather,193000000000.00,Women's SoftWalk Bolinas Thong Sandal,99.95,99.95,TRUE,2019-04-25T04:01:36Z,Online only,8,8
2019-04-25T07:14:44Z,2019-04-25T07:14:44Z,Softwalk,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Sand Nubuck Leather,887000000000.00,Softwalk Womens Hampshire Black Snake Flats Size 6.5,112.27,112.27,TRUE,"2019-04-20T12:02:15Z,2019-04-20T12:02:48Z,2019-04-20T12:02:58Z",Online only,10,10
2019-04-25T07:14:42Z,2019-04-25T07:14:42Z,Drew,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Blue Leather,888000000000.00,Women's Drew Embark Sandal,149.95,149.95,TRUE,2019-04-24T17:34:00.000Z,Online only: 6% off,6.5,6.5
